sysid,title,article_text,law_group,law_type
oic_10085,ขอรับฟังความคิดเห็นร่างประกาศจำนวน 5 ฉบับ,[ข่าวประกาศ] 2014-05-27 ขอรับฟังความคิดเห็นร่างประกาศจำนวน 5 ฉบับ,ประกันภัย,ข่าวประกาศ
oic_10086,รายชื่อบริษัทประกันภัยที่ถูกลงโทษปรับ,[ข่าวประกาศ] 2014-05-27 รายชื่อบริษัทประกันภัยที่ถูกลงโทษปรับ,ประกันภัย,ข่าวประกาศ
oic_10087,ประกาศสอบราคาจ้าง,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้าง,ประกันภัย,ข่าวประกาศ
oic_10088,หลักเกณฑ์การตัดสินการประกวดฯ โครงการยุวชนประกันภัย,[ข่าวประกาศ] 2014-05-27 หลักเกณฑ์การตัดสินการประกวดฯ โครงการยุวชนประกันภัย,ประกันภัย,ข่าวประกาศ
oic_10089,หลักเกณฑ์การมอบรางวัลดีเด่น ประจำปี 2551,[ข่าวประกาศ] 2014-05-27 หลักเกณฑ์การมอบรางวัลดีเด่น ประจำปี 2551,ประกันภัย,ข่าวประกาศ
oic_10090,การอบรมความรู้เกี่ยวกับการประกันวินาศภัย สำหรับผู้ขอรับและขอต่อใบอนุญาตฯ พ.ศ.2552 (ฉบับที่ 2),[ข่าวประกาศ] 2014-05-27 การอบรมความรู้เกี่ยวกับการประกันวินาศภัย สำหรับผู้ขอรับและขอต่อใบอนุญาตฯ พ.ศ.2552 (ฉบับที่ 2),ประกันภัย,ข่าวประกาศ
oic_10091,ร่างประกาศ เรื่อง การประกันภัยต่อของบริษัทฯ,[ข่าวประกาศ] 2014-05-27 ร่างประกาศ เรื่อง การประกันภัยต่อของบริษัทฯ,ประกันภัย,ข่าวประกาศ
oic_10092,ประกาศสอบราคาจ้างจัดทำป้ายโฆษณากลางแจ้ง (ธงญี่ปุ่น),[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้างจัดทำป้ายโฆษณากลางแจ้ง (ธงญี่ปุ่น),ประกันภัย,ข่าวประกาศ
oic_10093,กำหนดหลักสูตรและวิธีการ การอบรมความรู้เกี่ยวกับการประกันชีวิต สำหรับผู้ขอรับและขอต่อใบอนุญาตฯ พ.ศ.2552 (ฉบับที่ 2),[ข่าวประกาศ] 2014-05-27 กำหนดหลักสูตรและวิธีการ การอบรมความรู้เกี่ยวกับการประกันชีวิต สำหรับผู้ขอรับและขอต่อใบอนุญาตฯ พ.ศ.2552 (ฉบับที่ 2),ประกันภัย,ข่าวประกาศ
oic_10094,ร่างประกาศ เรื่อง การประกันภัยต่อของบริษัทฯ,[ข่าวประกาศ] 2014-05-27 ร่างประกาศ เรื่อง การประกันภัยต่อของบริษัทฯ,ประกันภัย,ข่าวประกาศ
oic_10095,บันทึกข้อตกลงความร่วมมือ (MOU) กับ 2 หน่วยงาน,[ข่าวประกาศ] 2014-05-27 บันทึกข้อตกลงความร่วมมือ (MOU) กับ 2 หน่วยงาน,ประกันภัย,ข่าวประกาศ
oic_10096,การประเมินราคาทรัพย์สินและหนี้สินของบริษัทประกันชีวิต /วินาศภัย,[ข่าวประกาศ] 2014-05-27 การประเมินราคาทรัพย์สินและหนี้สินของบริษัทประกันชีวิต /วินาศภัย,ประกันภัย,ข่าวประกาศ
oic_10097,หลักเกณฑ์การให้ความเห็นชอบแบบและข้อความกรมกรรม์ประกันภัย และอัตราเบี้ยประกันภัย สำหรับการประกันชีวิตแบบบำนาญ พ.ศ.2552,[ข่าวประกาศ] 2014-05-27 หลักเกณฑ์การให้ความเห็นชอบแบบและข้อความกรมกรรม์ประกันภัย และอัตราเบี้ยประกันภัย สำหรับการประกันชีวิตแบบบำนาญ พ.ศ.2552,ประกันภัย,ข่าวประกาศ
oic_10098,คปภ.ลดเบี้ยประกันอัคคีภัย,[ข่าวประกาศ] 2014-05-27 คปภ.ลดเบี้ยประกันอัคคีภัย,ประกันภัย,ข่าวประกาศ
oic_10099,ร่างประกาศเรื่องระเบียบปฏิบัติเกี่ยวกับการวางและการขอคืนเงินสำรองฯ,[ข่าวประกาศ] 2014-05-27 ร่างประกาศเรื่องระเบียบปฏิบัติเกี่ยวกับการวางและการขอคืนเงินสำรองฯ,ประกันภัย,ข่าวประกาศ
oic_10100,สอบราคาจ้างเหมาเช่ารถบัสปรับอากาศ รับ-ส่ง พนักงาน,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างเหมาเช่ารถบัสปรับอากาศ รับ-ส่ง พนักงาน,ประกันภัย,ข่าวประกาศ
oic_10101,ประกวดราคาซื้อรถยนต์ประจำตำแหน่ง,[ข่าวประกาศ] 2014-05-27 ประกวดราคาซื้อรถยนต์ประจำตำแหน่ง,ประกันภัย,ข่าวประกาศ
oic_10102,แผนอบรมการต่ออายุตัวแทน/นายหน้า ของสำนักงาน คปภ. ภาค,[ข่าวประกาศ] 2014-05-27 แผนอบรมการต่ออายุตัวแทน/นายหน้า ของสำนักงาน คปภ. ภาค,ประกันภัย,ข่าวประกาศ
oic_10103,หลักเกณฑ์ วิธีการ และเงื่อนไขการวางเงินสำรองประกันภัยของธุรกิจประกันชีวิต/วินาศภัย พ.ศ.2552,[ข่าวประกาศ] 2014-05-27 หลักเกณฑ์ วิธีการ และเงื่อนไขการวางเงินสำรองประกันภัยของธุรกิจประกันชีวิต/วินาศภัย พ.ศ.2552,ประกันภัย,ข่าวประกาศ
oic_10104,template Excel สำหรับโหลดแผนจัดอบรมตัวแทน/นายหน้า ปี 2553,[ข่าวประกาศ] 2014-05-27 template Excel สำหรับโหลดแผนจัดอบรมตัวแทน/นายหน้า ปี 2553,ประกันภัย,ข่าวประกาศ
oic_10105,ร่างประกาศ คปภ. เรื่อง การจำแนกประเภทค่าใช้จ่ายประกันชีวิต/ประกันวินาศภัย,[ข่าวประกาศ] 2014-05-27 ร่างประกาศ คปภ. เรื่อง การจำแนกประเภทค่าใช้จ่ายประกันชีวิต/ประกันวินาศภัย,ประกันภัย,ข่าวประกาศ
oic_10106,การนำหลักใช้หลัก cash before cover และการรับชำระเบี้ยประกันภัย,[ข่าวประกาศ] 2014-05-27 การนำหลักใช้หลัก cash before cover และการรับชำระเบี้ยประกันภัย,ประกันภัย,ข่าวประกาศ
oic_10107,การนำหลักใช้หลัก cash before cover และการรับชำระเบี้ยประกันภัย,[ข่าวประกาศ] 2014-05-27 การนำหลักใช้หลัก cash before cover และการรับชำระเบี้ยประกันภัย,ประกันภัย,ข่าวประกาศ
oic_10108,บันทึกข้อตกลงความร่วมมือ (MOU) กับ 2 หน่วยงาน,[ข่าวประกาศ] 2014-05-27 บันทึกข้อตกลงความร่วมมือ (MOU) กับ 2 หน่วยงาน,ประกันภัย,ข่าวประกาศ
oic_10109,สอบราคาเช่าครุภัณฑ์สำนักงาน - เครื่องถ่ายเอกสาร ปี 2553,[ข่าวประกาศ] 2014-05-27 สอบราคาเช่าครุภัณฑ์สำนักงาน - เครื่องถ่ายเอกสาร ปี 2553,ประกันภัย,ข่าวประกาศ
oic_10110,ประกาศสอบราคาจ้างเหมาเช่ารถยนต์โดยสารปรับอากาศ,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้างเหมาเช่ารถยนต์โดยสารปรับอากาศ,ประกันภัย,ข่าวประกาศ
